material_id,component,min,max,nominal,uncertainty,basis,data_kind,source_id,source_locator,notes,raw_source_file,raw_sheet,raw_row_number,raw_row_json
MAT-IN718,Ni+Co,50,55,,,mass %,specification,SRC-IN718-SMC,p.3 Table 1,,alloy_material_dataset_v0.1.xlsx,Composition_Long,4,"{""basis"": ""mass %"", ""component"": ""Ni+Co"", ""data_kind"": ""specification"", ""material_id"": ""MAT-IN718"", ""max"": ""55"", ""min"": ""50"", ""nominal"": """", ""notes"": """", ""source_id"": ""SRC-IN718-SMC"", ""source_locator"": ""p.3 Table 1"", ""uncertainty"": """"}"
MAT-IN718,Cr,17,21,,,mass %,specification,SRC-IN718-SMC,p.3 Table 1,,alloy_material_dataset_v0.1.xlsx,Composition_Long,5,"{""basis"": ""mass %"", ""component"": ""Cr"", ""data_kind"": ""specification"", ""material_id"": ""MAT-IN718"", ""max"": ""21"", ""min"": ""17"", ""nominal"": """", ""notes"": """", ""source_id"": ""SRC-IN718-SMC"", ""source_locator"": ""p.3 Table 1"", ""uncertainty"": """"}"
MAT-IN718,Fe,,,,,mass %,specification,SRC-IN718-SMC,p.3 Table 1,balance,alloy_material_dataset_v0.1.xlsx,Composition_Long,6,"{""basis"": ""mass %"", ""component"": ""Fe"", ""data_kind"": ""specification"", ""material_id"": ""MAT-IN718"", ""max"": """", ""min"": """", ""nominal"": """", ""notes"": ""balance"", ""source_id"": ""SRC-IN718-SMC"", ""source_locator"": ""p.3 Table 1"", ""uncertainty"": """"}"
MAT-IN718,Nb+Ta,4.75,5.5,,,mass %,specification,SRC-IN718-SMC,p.3 Table 1,,alloy_material_dataset_v0.1.xlsx,Composition_Long,7,"{""basis"": ""mass %"", ""component"": ""Nb+Ta"", ""data_kind"": ""specification"", ""material_id"": ""MAT-IN718"", ""max"": ""5.5"", ""min"": ""4.75"", ""nominal"": """", ""notes"": """", ""source_id"": ""SRC-IN718-SMC"", ""source_locator"": ""p.3 Table 1"", ""uncertainty"": """"}"
MAT-IN718,Mo,2.8,3.3,,,mass %,specification,SRC-IN718-SMC,p.3 Table 1,,alloy_material_dataset_v0.1.xlsx,Composition_Long,8,"{""basis"": ""mass %"", ""component"": ""Mo"", ""data_kind"": ""specification"", ""material_id"": ""MAT-IN718"", ""max"": ""3.3"", ""min"": ""2.8"", ""nominal"": """", ""notes"": """", ""source_id"": ""SRC-IN718-SMC"", ""source_locator"": ""p.3 Table 1"", ""uncertainty"": """"}"
MAT-IN718,Ti,0.65,1.15,,,mass %,specification,SRC-IN718-SMC,p.3 Table 1,,alloy_material_dataset_v0.1.xlsx,Composition_Long,9,"{""basis"": ""mass %"", ""component"": ""Ti"", ""data_kind"": ""specification"", ""material_id"": ""MAT-IN718"", ""max"": ""1.15"", ""min"": ""0.65"", ""nominal"": """", ""notes"": """", ""source_id"": ""SRC-IN718-SMC"", ""source_locator"": ""p.3 Table 1"", ""uncertainty"": """"}"
MAT-IN718,Al,0.2,0.8,,,mass %,specification,SRC-IN718-SMC,p.3 Table 1,,alloy_material_dataset_v0.1.xlsx,Composition_Long,10,"{""basis"": ""mass %"", ""component"": ""Al"", ""data_kind"": ""specification"", ""material_id"": ""MAT-IN718"", ""max"": ""0.8"", ""min"": ""0.2"", ""nominal"": """", ""notes"": """", ""source_id"": ""SRC-IN718-SMC"", ""source_locator"": ""p.3 Table 1"", ""uncertainty"": """"}"
MAT-IN718,Co,,1,,,mass %,specification,SRC-IN718-SMC,p.3 Table 1,,alloy_material_dataset_v0.1.xlsx,Composition_Long,11,"{""basis"": ""mass %"", ""component"": ""Co"", ""data_kind"": ""specification"", ""material_id"": ""MAT-IN718"", ""max"": ""1"", ""min"": """", ""nominal"": """", ""notes"": """", ""source_id"": ""SRC-IN718-SMC"", ""source_locator"": ""p.3 Table 1"", ""uncertainty"": """"}"
MAT-IN718,C,,0.08,,,mass %,specification,SRC-IN718-SMC,p.3 Table 1,,alloy_material_dataset_v0.1.xlsx,Composition_Long,12,"{""basis"": ""mass %"", ""component"": ""C"", ""data_kind"": ""specification"", ""material_id"": ""MAT-IN718"", ""max"": ""0.08"", ""min"": """", ""nominal"": """", ""notes"": """", ""source_id"": ""SRC-IN718-SMC"", ""source_locator"": ""p.3 Table 1"", ""uncertainty"": """"}"
MAT-IN718,Mn,,0.35,,,mass %,specification,SRC-IN718-SMC,p.3 Table 1,,alloy_material_dataset_v0.1.xlsx,Composition_Long,13,"{""basis"": ""mass %"", ""component"": ""Mn"", ""data_kind"": ""specification"", ""material_id"": ""MAT-IN718"", ""max"": ""0.35"", ""min"": """", ""nominal"": """", ""notes"": """", ""source_id"": ""SRC-IN718-SMC"", ""source_locator"": ""p.3 Table 1"", ""uncertainty"": """"}"
