material_id,property,value,unit,temperature_K,uncertainty,data_kind,condition,source_id,source_locator,notes,raw_source_file,raw_sheet,raw_row_number,raw_row_json
MAT-IN718,density,8193,kg/m³,294.15,,typical,annealed,SRC-IN718-SMC,p.4 Table 2,converted from 0.296 lb/in³,alloy_material_dataset_v0.1.xlsx,Property_Points,4,"{""condition"": ""annealed"", ""data_kind"": ""typical"", ""material_id"": ""MAT-IN718"", ""notes"": ""converted from 0.296 lb/in³"", ""property"": ""density"", ""source_id"": ""SRC-IN718-SMC"", ""source_locator"": ""p.4 Table 2"", ""temperature_K"": ""294.15"", ""uncertainty"": """", ""unit"": ""kg/m³"", ""value"": ""8193""}"
MAT-BAMBU-ASA,density,1050,kg/m³,298.15,,reported,FDM X-Y; 100% infill,SRC-BAMBU-FILAMENT-MD,ASA 物理性能表,ISO 1183；由 1.05 g/cm³ 换算,3D打印耗材详细性能.md,ASA,753,
MAT-BAMBU-ASA,heat_deflection_temperature,92,°C,365.15,,reported,FDM X-Y; 100% infill; ISO 75 1.8 MPa,SRC-BAMBU-FILAMENT-MD,ASA 物理性能表,热变形温度,3D打印耗材详细性能.md,ASA,753,
MAT-BAMBU-ASA,heat_deflection_temperature,100,°C,373.15,,reported,FDM X-Y; 100% infill; ISO 75 0.45 MPa,SRC-BAMBU-FILAMENT-MD,ASA 物理性能表,热变形温度,3D打印耗材详细性能.md,ASA,753,
MAT-BAMBU-ASA,tensile_strength,37,MPa,298.15,3,reported,FDM X-Y; 100% infill; ISO 527,SRC-BAMBU-FILAMENT-MD,ASA 机械性能表,拉伸强度 X-Y,3D打印耗材详细性能.md,ASA,755,
MAT-BAMBU-ASA,youngs_modulus,2450,MPa,298.15,270,reported,FDM X-Y; 100% infill; ISO 527,SRC-BAMBU-FILAMENT-MD,ASA 机械性能表,杨氏模量 X-Y,3D打印耗材详细性能.md,ASA,755,
MAT-BAMBU-PETG-BASIC,density,1250,kg/m³,298.15,,reported,FDM X-Y; 100% infill,SRC-BAMBU-FILAMENT-MD,基础PETG 物理性能表,ISO 1183；由 1.25 g/cm³ 换算,3D打印耗材详细性能.md,基础PETG,48,
MAT-BAMBU-PETG-BASIC,heat_deflection_temperature,68,°C,341.15,,reported,FDM X-Y; 100% infill; ISO 75 1.8 MPa,SRC-BAMBU-FILAMENT-MD,基础PETG 物理性能表,热变形温度,3D打印耗材详细性能.md,基础PETG,48,
MAT-BAMBU-PETG-BASIC,heat_deflection_temperature,71,°C,344.15,,reported,FDM X-Y; 100% infill; ISO 75 0.45 MPa,SRC-BAMBU-FILAMENT-MD,基础PETG 物理性能表,热变形温度,3D打印耗材详细性能.md,基础PETG,48,
MAT-BAMBU-PETG-BASIC,tensile_strength,51,MPa,298.15,1,reported,FDM X-Y; 100% infill; ISO 527,SRC-BAMBU-FILAMENT-MD,基础PETG 机械性能表,拉伸强度 X-Y,3D打印耗材详细性能.md,基础PETG,48,
MAT-BAMBU-PETG-BASIC,youngs_modulus,2780,MPa,298.15,65,reported,FDM X-Y; 100% infill; ISO 527,SRC-BAMBU-FILAMENT-MD,基础PETG 机械性能表,杨氏模量 X-Y,3D打印耗材详细性能.md,基础PETG,48,
MAT-BAMBU-ABS,density,1050,kg/m³,298.15,,reported,FDM X-Y; 100% infill,SRC-BAMBU-FILAMENT-MD,ABS 物理性能表,ISO 1183；由 1.05 g/cm³ 换算,3D打印耗材详细性能.md,ABS,701,
MAT-BAMBU-ABS,heat_deflection_temperature,84,°C,357.15,,reported,FDM X-Y; 100% infill; ISO 75 1.8 MPa,SRC-BAMBU-FILAMENT-MD,ABS 物理性能表,热变形温度,3D打印耗材详细性能.md,ABS,701,
MAT-BAMBU-ABS,heat_deflection_temperature,87,°C,360.15,,reported,FDM X-Y; 100% infill; ISO 75 0.45 MPa,SRC-BAMBU-FILAMENT-MD,ABS 物理性能表,热变形温度,3D打印耗材详细性能.md,ABS,701,
MAT-BAMBU-ABS,tensile_strength,33,MPa,298.15,3,reported,FDM X-Y; 100% infill; ISO 527,SRC-BAMBU-FILAMENT-MD,ABS 机械性能表,拉伸强度 X-Y,3D打印耗材详细性能.md,ABS,704,
MAT-BAMBU-ABS,youngs_modulus,2200,MPa,298.15,190,reported,FDM X-Y; 100% infill; ISO 527,SRC-BAMBU-FILAMENT-MD,ABS 机械性能表,杨氏模量 X-Y,3D打印耗材详细性能.md,ABS,704,
MAT-BAMBU-PLA-PURE,density,1240,kg/m³,298.15,,reported,FDM X-Y; 100% infill,SRC-BAMBU-FILAMENT-MD,纯净PLA 物理性能表,ISO 1183；由 1.24 g/cm³ 换算,3D打印耗材详细性能.md,纯净PLA,992,
MAT-BAMBU-PLA-PURE,heat_deflection_temperature,56,°C,329.15,,reported,FDM X-Y; 100% infill; ISO 75 1.8 MPa,SRC-BAMBU-FILAMENT-MD,纯净PLA 物理性能表,热变形温度,3D打印耗材详细性能.md,纯净PLA,1002,
