step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-140.346313,0.000000,-140.346313,0.000,0.042327
10,2.500,-140.346176,0.037469,-140.308708,9.058,0.050805
20,5.000,-140.344604,0.064152,-140.280452,15.509,0.136906
30,7.500,-140.340469,0.082391,-140.258078,19.919,0.222254
40,10.000,-140.332642,0.116861,-140.215780,28.253,0.319773
50,12.500,-140.321503,0.131455,-140.190047,31.781,0.401978
60,15.000,-140.306931,0.167271,-140.139660,40.440,0.470304
70,17.500,-140.287842,0.170432,-140.117409,41.204,0.527022
80,20.000,-140.267563,0.192859,-140.074704,46.626,0.550082
90,22.500,-140.248322,0.188047,-140.060275,45.462,0.668959
100,25.000,-140.231369,0.185334,-140.046035,44.806,0.760889
110,27.500,-140.216492,0.187769,-140.028722,45.395,0.813437
120,30.000,-140.205887,0.211657,-139.994230,51.170,0.819830
130,32.500,-140.198776,0.200600,-139.998176,48.497,0.779187
140,35.000,-140.194199,0.220296,-139.973903,53.259,0.655093
150,37.500,-140.189651,0.236974,-139.952678,57.291,0.695604
