step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-140.346298,0.000000,-140.346298,0.000,0.042326
20,5.000,-140.345123,0.069048,-140.276075,16.693,0.103690
40,10.000,-140.336243,0.138673,-140.197570,33.526,0.213034
60,15.000,-140.313248,0.148080,-140.165168,35.800,0.347530
80,20.000,-140.279129,0.197576,-140.081553,47.766,0.464720
100,25.000,-140.225235,0.193472,-140.031763,46.774,0.668661
120,30.000,-140.161942,0.187831,-139.974110,45.410,0.910486
140,35.000,-140.112717,0.158999,-139.953718,38.440,1.079551
160,40.000,-140.114227,0.193118,-139.921109,46.688,0.958183
180,45.000,-140.143112,0.243215,-139.899897,58.800,0.829453
200,50.000,-140.174194,0.319498,-139.854697,77.242,0.729892
220,55.000,-140.174759,0.364298,-139.810461,88.073,0.672193
240,60.000,-140.133118,0.343658,-139.789460,83.083,1.168723
260,65.000,-140.069870,0.347422,-139.722448,83.993,1.384385
280,70.000,-140.023499,0.307538,-139.715961,74.351,1.178740
300,75.000,-139.992783,0.335879,-139.656903,81.203,0.926767
320,80.000,-139.988708,0.374469,-139.614240,90.532,0.799806
340,85.000,-139.986450,0.457999,-139.528451,110.726,0.747203
360,90.000,-139.984283,0.491536,-139.492748,118.834,1.001759
380,95.000,-139.968475,0.535970,-139.432505,129.577,1.074749
400,100.000,-139.946045,0.502997,-139.443047,121.605,0.873539
420,105.000,-139.919342,0.523232,-139.396110,126.497,0.966996
440,110.000,-139.898926,0.582432,-139.316494,140.809,1.208517
460,115.000,-139.891846,0.597072,-139.294774,144.349,1.149544
480,120.000,-139.907028,0.720690,-139.186338,174.235,1.079597
500,125.000,-139.936752,0.688635,-139.248117,166.485,1.096959
520,130.000,-139.955826,0.732982,-139.222844,177.206,1.009827
540,135.000,-139.954102,0.713750,-139.240351,172.557,1.009089
560,140.000,-139.923538,0.734864,-139.188674,177.661,1.104152
580,145.000,-139.876266,0.650072,-139.226195,157.162,1.100795
600,150.000,-139.828339,0.593689,-139.234649,143.531,0.909231
