step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-140.318695,0.000000,-140.318695,0.000,0.268925
10,2.500,-140.318314,0.026393,-140.291921,6.381,0.297706
20,5.000,-140.317413,0.052827,-140.264586,12.772,0.331492
30,7.500,-140.315399,0.095013,-140.220387,22.970,0.368632
40,10.000,-140.310211,0.126135,-140.184076,30.494,0.414456
50,12.500,-140.302048,0.135556,-140.166491,32.772,0.467968
60,15.000,-140.295425,0.130101,-140.165324,31.453,0.484441
70,17.500,-140.288971,0.170614,-140.118357,41.248,0.479156
80,20.000,-140.279282,0.184438,-140.094843,44.590,0.530378
90,22.500,-140.268799,0.189244,-140.079555,45.752,0.577673
100,25.000,-140.259735,0.205625,-140.054110,49.712,0.588072
110,27.500,-140.250214,0.218012,-140.032202,52.707,0.571218
120,30.000,-140.240280,0.230723,-140.009558,55.780,0.509785
130,32.500,-140.227066,0.256423,-139.970643,61.993,0.474252
140,35.000,-140.212738,0.245306,-139.967432,59.305,0.544977
150,37.500,-140.199173,0.223599,-139.975574,54.057,0.639237
