step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-53.363415,0.000000,-53.363415,0.000,0.011569
10,2.500,-53.363312,0.013343,-53.349969,7.941,0.031185
20,5.000,-53.362709,0.024960,-53.337750,14.854,0.063368
30,7.500,-53.361252,0.028271,-53.332980,16.824,0.092750
40,10.000,-53.358517,0.035244,-53.323273,20.974,0.142991
50,12.500,-53.354980,0.033975,-53.321005,20.219,0.201935
60,15.000,-53.351112,0.043263,-53.307850,25.746,0.256266
70,17.500,-53.347248,0.034302,-53.312946,20.413,0.292553
80,20.000,-53.344627,0.049900,-53.294728,29.695,0.323010
90,22.500,-53.342285,0.067653,-53.274633,40.260,0.368478
100,25.000,-53.342453,0.075808,-53.266645,45.114,0.393985
110,27.500,-53.342594,0.102861,-53.239733,61.213,0.420976
120,30.000,-53.343361,0.116713,-53.226648,69.456,0.436584
130,32.500,-53.345955,0.102204,-53.243751,60.822,0.443099
140,35.000,-53.348419,0.101256,-53.247163,60.258,0.462337
150,37.500,-53.351089,0.125156,-53.225933,74.481,0.479324
