step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-315.206238,2.295025,-312.911213,317.056,0.124402
50,12.500,-314.163330,1.477605,-312.685726,204.130,2.894283
100,25.000,-313.853821,1.613514,-312.240306,222.906,2.605424
150,37.500,-314.106018,1.696101,-312.409917,234.315,2.723658
200,50.000,-313.984131,1.771058,-312.213073,244.670,2.619850
250,62.500,-313.862183,2.043329,-311.818854,282.284,2.684613
300,75.000,-313.585999,2.113146,-311.472853,291.929,3.077663
350,87.500,-313.488708,2.255198,-311.233511,311.553,2.311117
400,100.000,-313.620667,2.453971,-311.166696,339.014,3.821304
450,112.500,-313.640411,2.434802,-311.205609,336.366,2.429723
500,125.000,-313.375702,1.792155,-311.583547,247.584,4.112170
550,137.500,-313.759644,1.799218,-311.960426,248.560,3.785714
600,150.000,-313.695343,1.984793,-311.710550,274.197,4.027467
650,162.500,-313.940552,2.096417,-311.844134,289.618,2.988788
700,175.000,-314.167603,2.038944,-312.128659,281.678,3.383070
750,187.500,-314.020660,2.037527,-311.983133,281.483,3.001728
800,200.000,-313.859863,2.242147,-311.617716,309.751,2.535908
850,212.500,-313.460938,1.612907,-311.848031,222.822,3.139389
900,225.000,-313.582428,1.748030,-311.834398,241.489,2.274665
950,237.500,-313.766602,1.874256,-311.892346,258.927,2.458483
1000,250.000,-313.621826,1.981981,-311.639845,273.809,3.145504
