step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-29.673717,0.218900,-29.454818,423.372,0.005531
50,12.500,-29.433594,0.077092,-29.356501,149.103,2.087360
100,25.000,-29.567257,0.293619,-29.273638,567.884,1.508765
150,37.500,-29.406273,0.230055,-29.176218,444.946,2.557429
200,50.000,-29.201902,0.158816,-29.043087,307.163,2.808621
250,62.500,-29.574627,0.515806,-29.058821,997.614,1.396697
300,75.000,-29.372068,0.113022,-29.259047,218.594,2.331628
350,87.500,-29.596924,0.329480,-29.267444,637.244,1.059365
400,100.000,-29.462551,0.087279,-29.375272,168.806,2.148252
450,112.500,-29.518747,0.147497,-29.371250,285.273,1.803007
500,125.000,-29.605009,0.221008,-29.384001,427.448,1.237893
550,137.500,-29.470205,0.125160,-29.345045,242.071,1.690461
600,150.000,-29.452988,0.201828,-29.251160,390.352,2.257773
650,162.500,-29.536318,0.213264,-29.323054,412.471,1.610956
700,175.000,-29.531004,0.111020,-29.419984,214.721,1.558571
750,187.500,-29.613214,0.124395,-29.488819,240.591,1.179110
800,200.000,-29.557840,0.035974,-29.521866,69.577,1.448612
850,212.500,-29.621111,0.197266,-29.423845,381.529,0.947483
900,225.000,-29.520857,0.107271,-29.413586,207.472,1.695706
950,237.500,-29.618788,0.149295,-29.469493,288.750,0.900815
1000,250.000,-29.623739,0.081668,-29.542071,157.954,0.994847
