step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-315.206238,2.295025,-312.911213,317.056,0.124402
50,12.500,-314.163330,1.477604,-312.685726,204.130,2.894316
100,25.000,-313.853821,1.613514,-312.240306,222.906,2.605423
150,37.500,-314.106018,1.696101,-312.409917,234.315,2.723651
200,50.000,-313.984131,1.771059,-312.213072,244.670,2.619848
250,62.500,-313.862183,2.043329,-311.818854,282.284,2.684607
300,75.000,-313.586029,2.113144,-311.472885,291.929,3.077674
350,87.500,-313.488708,2.255196,-311.233513,311.553,2.311104
400,100.000,-313.620667,2.453967,-311.166699,339.013,3.821308
450,112.500,-313.640381,2.434800,-311.205581,336.365,2.429693
500,125.000,-313.375702,1.792154,-311.583548,247.584,4.112165
550,137.500,-313.759613,1.799220,-311.960393,248.561,3.785684
600,150.000,-313.695374,1.984793,-311.710580,274.197,4.027448
650,162.500,-313.940552,2.096417,-311.844135,289.618,2.988750
700,175.000,-314.167603,2.038944,-312.128659,281.678,3.383048
750,187.500,-314.020660,2.037526,-311.983134,281.482,3.001751
800,200.000,-313.859802,2.242144,-311.617658,309.750,2.535911
850,212.500,-313.460938,1.612904,-311.848033,222.821,3.139381
900,225.000,-313.582458,1.748031,-311.834427,241.489,2.274656
950,237.500,-313.766632,1.874255,-311.892377,258.927,2.458485
1000,250.000,-313.621826,1.981980,-311.639846,273.809,3.145496
