step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-315.206238,2.295025,-312.911213,317.056,0.124403
50,12.500,-314.163330,1.477605,-312.685725,204.130,2.894315
100,25.000,-313.853821,1.613514,-312.240306,222.906,2.605419
150,37.500,-314.105988,1.696103,-312.409885,234.315,2.723665
200,50.000,-313.984131,1.771058,-312.213073,244.670,2.619851
250,62.500,-313.862244,2.043330,-311.818914,282.284,2.684608
300,75.000,-313.585999,2.113145,-311.472854,291.929,3.077657
350,87.500,-313.488708,2.255194,-311.233515,311.553,2.311120
400,100.000,-313.620667,2.453964,-311.166703,339.013,3.821306
450,112.500,-313.640411,2.434801,-311.205610,336.366,2.429709
500,125.000,-313.375671,1.792155,-311.583516,247.585,4.112172
550,137.500,-313.759613,1.799219,-311.960394,248.560,3.785688
600,150.000,-313.695312,1.984794,-311.710518,274.198,4.027463
650,162.500,-313.940582,2.096418,-311.844164,289.618,2.988768
700,175.000,-314.167633,2.038945,-312.128688,281.678,3.383050
750,187.500,-314.020660,2.037530,-311.983130,281.483,3.001733
800,200.000,-313.859802,2.242147,-311.617656,309.750,2.535913
850,212.500,-313.460938,1.612908,-311.848030,222.822,3.139390
900,225.000,-313.582428,1.748033,-311.834395,241.489,2.274673
950,237.500,-313.766602,1.874257,-311.892345,258.927,2.458480
1000,250.000,-313.621826,1.981981,-311.639845,273.809,3.145516
