step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-315.206238,2.295025,-312.911213,317.056,0.124403
50,12.500,-314.163330,1.477604,-312.685726,204.130,2.894315
100,25.000,-313.853821,1.613514,-312.240307,222.905,2.605417
150,37.500,-314.106018,1.696102,-312.409916,234.315,2.723649
200,50.000,-313.984131,1.771058,-312.213073,244.670,2.619851
250,62.500,-313.862244,2.043327,-311.818917,282.284,2.684606
300,75.000,-313.585999,2.113143,-311.472855,291.929,3.077660
350,87.500,-313.488739,2.255196,-311.233543,311.553,2.311108
400,100.000,-313.620667,2.453967,-311.166699,339.013,3.821304
450,112.500,-313.640381,2.434799,-311.205581,336.365,2.429691
500,125.000,-313.375702,1.792154,-311.583548,247.584,4.112165
550,137.500,-313.759613,1.799218,-311.960395,248.560,3.785703
600,150.000,-313.695343,1.984791,-311.710552,274.197,4.027448
650,162.500,-313.940552,2.096417,-311.844135,289.618,2.988766
700,175.000,-314.167603,2.038944,-312.128659,281.678,3.383070
750,187.500,-314.020630,2.037526,-311.983103,281.482,3.001761
800,200.000,-313.859802,2.242145,-311.617658,309.750,2.535913
850,212.500,-313.460938,1.612908,-311.848029,222.822,3.139388
900,225.000,-313.582458,1.748031,-311.834427,241.489,2.274660
950,237.500,-313.766602,1.874254,-311.892348,258.926,2.458472
1000,250.000,-313.621826,1.981981,-311.639845,273.809,3.145507
