step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-140.318710,0.000000,-140.318710,0.000,0.268926
10,2.500,-140.319275,0.031916,-140.287359,7.716,0.281799
20,5.000,-140.321762,0.058407,-140.263355,14.120,0.294854
30,7.500,-140.323410,0.086413,-140.236997,20.891,0.324580
40,10.000,-140.322083,0.093928,-140.228155,22.708,0.358460
50,12.500,-140.319031,0.116056,-140.202975,28.058,0.390234
60,15.000,-140.314224,0.136609,-140.177615,33.027,0.458233
70,17.500,-140.306580,0.168828,-140.137752,40.816,0.533569
80,20.000,-140.298523,0.165033,-140.133490,39.899,0.602368
90,22.500,-140.286789,0.191804,-140.094985,46.371,0.675753
100,25.000,-140.274765,0.197833,-140.076932,47.828,0.703137
110,27.500,-140.261215,0.231458,-140.029757,55.957,0.652978
120,30.000,-140.247009,0.281800,-139.965210,68.128,0.602582
130,32.500,-140.226212,0.264603,-139.961609,63.971,0.620246
140,35.000,-140.202942,0.238961,-139.963981,57.771,0.643956
150,37.500,-140.180893,0.211591,-139.969302,51.154,0.667865
