step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-53.363415,0.000000,-53.363415,0.000,0.011569
10,2.500,-53.363289,0.014005,-53.349284,8.335,0.023134
20,5.000,-53.362759,0.024708,-53.338051,14.704,0.049599
30,7.500,-53.361614,0.034163,-53.327451,20.331,0.081730
40,10.000,-53.359222,0.048356,-53.310866,28.777,0.146482
50,12.500,-53.355614,0.053819,-53.301795,32.028,0.199385
60,15.000,-53.350674,0.074294,-53.276380,44.213,0.237561
70,17.500,-53.342449,0.081501,-53.260948,48.501,0.301236
80,20.000,-53.333122,0.088840,-53.244282,52.869,0.352756
90,22.500,-53.324253,0.080041,-53.244212,47.633,0.387260
100,25.000,-53.318066,0.083014,-53.235052,49.402,0.385324
110,27.500,-53.312389,0.090851,-53.221538,54.066,0.404411
120,30.000,-53.306755,0.103901,-53.202854,61.832,0.460095
130,32.500,-53.302498,0.112736,-53.189762,67.090,0.489654
140,35.000,-53.298882,0.110851,-53.188030,65.968,0.500679
150,37.500,-53.297596,0.127072,-53.170523,75.621,0.509192
