step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-140.318695,0.000000,-140.318695,0.000,0.268926
10,2.500,-140.320084,0.026938,-140.293146,6.512,0.273439
20,5.000,-140.322891,0.059349,-140.263542,14.348,0.292424
30,7.500,-140.325073,0.079966,-140.245107,19.333,0.297845
40,10.000,-140.324829,0.125865,-140.198964,30.429,0.301576
50,12.500,-140.322403,0.167844,-140.154559,40.578,0.355116
60,15.000,-140.315552,0.200686,-140.114866,48.518,0.433676
70,17.500,-140.304916,0.221771,-140.083145,53.616,0.508515
80,20.000,-140.292526,0.234856,-140.057670,56.779,0.503046
90,22.500,-140.277863,0.222350,-140.055512,53.756,0.525792
100,25.000,-140.262833,0.265123,-139.997710,64.096,0.550106
110,27.500,-140.243011,0.273992,-139.969020,66.241,0.585793
120,30.000,-140.218079,0.277158,-139.940920,67.006,0.571025
130,32.500,-140.185776,0.299008,-139.886767,72.289,0.518078
140,35.000,-140.149170,0.270789,-139.878381,65.466,0.653328
150,37.500,-140.114273,0.239520,-139.874753,57.907,0.768513
