step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-53.363415,0.000000,-53.363415,0.000,0.011569
10,2.500,-53.363312,0.016794,-53.346518,9.994,0.027513
20,5.000,-53.362644,0.023157,-53.339487,13.781,0.087022
30,7.500,-53.360905,0.034525,-53.326380,20.546,0.203201
40,10.000,-53.357922,0.045853,-53.312069,27.287,0.308051
50,12.500,-53.353165,0.062596,-53.290569,37.251,0.388704
60,15.000,-53.346558,0.094648,-53.251910,56.325,0.445058
70,17.500,-53.338379,0.094199,-53.244180,56.058,0.477592
80,20.000,-53.328869,0.092534,-53.236335,55.067,0.493983
90,22.500,-53.318367,0.083271,-53.235096,49.555,0.474263
100,25.000,-53.310745,0.075361,-53.235384,44.848,0.436017
110,27.500,-53.305790,0.084818,-53.220972,50.475,0.421427
120,30.000,-53.303185,0.068088,-53.235097,40.519,0.447502
130,32.500,-53.304317,0.062043,-53.242275,36.922,0.480689
140,35.000,-53.309761,0.075150,-53.234611,44.722,0.479396
150,37.500,-53.314075,0.096835,-53.217240,57.627,0.447982
