step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-140.318695,0.000000,-140.318695,0.000,0.268926
10,2.500,-140.320541,0.031037,-140.289505,7.503,0.285626
20,5.000,-140.324692,0.083151,-140.241541,20.103,0.331169
30,7.500,-140.327072,0.107657,-140.219415,26.027,0.381221
40,10.000,-140.325668,0.133430,-140.192238,32.258,0.504512
50,12.500,-140.320694,0.159839,-140.160855,38.643,0.653942
60,15.000,-140.311691,0.204607,-140.107084,49.466,0.778856
70,17.500,-140.297440,0.237933,-140.059507,57.523,0.888713
80,20.000,-140.280914,0.234780,-140.046135,56.761,0.887736
90,22.500,-140.263550,0.186599,-140.076950,45.112,0.828698
100,25.000,-140.245193,0.215066,-140.030127,51.995,0.752132
110,27.500,-140.224609,0.218025,-140.006584,52.710,0.657316
120,30.000,-140.205429,0.221845,-139.983584,53.633,0.487878
130,32.500,-140.185043,0.204685,-139.980358,49.485,0.499653
140,35.000,-140.168259,0.185985,-139.982273,44.964,0.512788
150,37.500,-140.156570,0.174657,-139.981913,42.225,0.561648
