step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-53.363415,0.000000,-53.363415,0.000,0.011569
10,2.500,-53.363415,0.010880,-53.352535,6.475,0.026725
20,5.000,-53.362942,0.031114,-53.331828,18.516,0.104238
30,7.500,-53.361073,0.039337,-53.321736,23.409,0.233457
40,10.000,-53.357330,0.054798,-53.302533,32.610,0.392576
50,12.500,-53.351059,0.094681,-53.256378,56.345,0.549960
60,15.000,-53.342449,0.091373,-53.251076,54.376,0.686871
70,17.500,-53.333225,0.122332,-53.210893,72.800,0.774265
80,20.000,-53.325314,0.104384,-53.220930,62.119,0.810034
90,22.500,-53.320862,0.108763,-53.212098,64.726,0.788807
100,25.000,-53.318890,0.125372,-53.193517,74.610,0.726268
110,27.500,-53.321335,0.150750,-53.170584,89.712,0.604925
120,30.000,-53.325611,0.170486,-53.155126,101.457,0.460312
130,32.500,-53.328156,0.177395,-53.150760,105.569,0.454018
140,35.000,-53.329117,0.207779,-53.121338,123.650,0.446436
150,37.500,-53.328579,0.204526,-53.124053,121.714,0.688757
