step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-140.318695,0.000000,-140.318695,0.000,0.268926
10,2.500,-140.318695,0.028343,-140.290352,6.852,0.285291
20,5.000,-140.318176,0.066174,-140.252003,15.998,0.312851
30,7.500,-140.316864,0.095704,-140.221160,23.138,0.362029
40,10.000,-140.312531,0.132536,-140.179994,32.042,0.431045
50,12.500,-140.304260,0.154214,-140.150046,37.283,0.486971
60,15.000,-140.293259,0.144292,-140.148967,34.884,0.611579
70,17.500,-140.281311,0.140650,-140.140661,34.004,0.741708
80,20.000,-140.270569,0.159450,-140.111119,38.549,0.823927
90,22.500,-140.261139,0.177808,-140.083331,42.987,0.836926
100,25.000,-140.252060,0.203359,-140.048701,49.164,0.815324
110,27.500,-140.243073,0.214548,-140.028525,51.869,0.738490
120,30.000,-140.233200,0.231880,-140.001320,56.060,0.598483
130,32.500,-140.221497,0.220887,-140.000610,53.402,0.558311
140,35.000,-140.209656,0.232704,-139.976952,56.259,0.580953
150,37.500,-140.195496,0.227330,-139.968166,54.960,0.586416
