step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-53.363415,0.000000,-53.363415,0.000,0.011570
10,2.500,-53.363297,0.013385,-53.349911,7.966,0.032644
20,5.000,-53.362698,0.018082,-53.344616,10.761,0.106173
30,7.500,-53.361496,0.034005,-53.327491,20.237,0.185869
40,10.000,-53.359116,0.046252,-53.312863,27.525,0.260741
50,12.500,-53.354004,0.065084,-53.288920,38.731,0.360809
60,15.000,-53.347172,0.073851,-53.273321,43.949,0.438533
70,17.500,-53.338108,0.091408,-53.246700,54.397,0.489588
80,20.000,-53.326122,0.063386,-53.262736,37.721,0.543271
90,22.500,-53.315331,0.079153,-53.236177,47.104,0.544660
100,25.000,-53.306648,0.080075,-53.226573,47.653,0.551274
110,27.500,-53.301918,0.084691,-53.217227,50.400,0.603732
120,30.000,-53.303490,0.106849,-53.196640,63.587,0.594907
130,32.500,-53.306061,0.113900,-53.192161,67.782,0.559273
140,35.000,-53.303116,0.120411,-53.182705,71.657,0.544897
150,37.500,-53.297554,0.119184,-53.178370,70.927,0.677760
