step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-140.318695,0.000000,-140.318695,0.000,0.268926
10,2.500,-140.318344,0.027407,-140.290937,6.626,0.286128
20,5.000,-140.319656,0.076583,-140.243074,18.515,0.300303
30,7.500,-140.319199,0.092577,-140.226621,22.382,0.382982
40,10.000,-140.316452,0.119991,-140.196461,29.009,0.507279
50,12.500,-140.308105,0.130300,-140.177805,31.501,0.667338
60,15.000,-140.294662,0.159252,-140.135411,38.501,0.810663
70,17.500,-140.279129,0.166416,-140.112713,40.233,0.937536
80,20.000,-140.267136,0.176766,-140.090369,42.735,0.901478
90,22.500,-140.255585,0.192931,-140.062653,46.643,0.755755
100,25.000,-140.241241,0.211852,-140.029390,51.218,0.677873
110,27.500,-140.225861,0.231371,-139.994490,55.936,0.774689
120,30.000,-140.210663,0.231320,-139.979343,55.924,0.827934
130,32.500,-140.192703,0.246324,-139.946380,59.551,0.846483
140,35.000,-140.174759,0.248548,-139.926211,60.089,0.832907
150,37.500,-140.161758,0.257594,-139.904165,62.276,0.786604
