step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-53.363415,0.000000,-53.363415,0.000,0.011569
10,2.500,-53.363247,0.013738,-53.349509,8.176,0.044830
20,5.000,-53.362465,0.024282,-53.338183,14.450,0.112788
30,7.500,-53.360012,0.034890,-53.325122,20.763,0.226597
40,10.000,-53.355354,0.040451,-53.314903,24.073,0.361048
50,12.500,-53.350147,0.044790,-53.305358,26.655,0.461637
60,15.000,-53.345116,0.051588,-53.293527,30.700,0.523836
70,17.500,-53.340012,0.076665,-53.263346,45.624,0.564909
80,20.000,-53.336845,0.077029,-53.259816,45.840,0.561779
90,22.500,-53.336861,0.090837,-53.246024,54.057,0.512602
100,25.000,-53.338802,0.114573,-53.224230,68.183,0.418569
110,27.500,-53.341228,0.109400,-53.231829,65.104,0.309749
120,30.000,-53.343075,0.100177,-53.242898,59.615,0.269766
130,32.500,-53.342216,0.124225,-53.217992,73.927,0.299370
140,35.000,-53.335686,0.128393,-53.207293,76.407,0.409827
150,37.500,-53.325764,0.150942,-53.174822,89.826,0.507730
