step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-140.318695,0.000000,-140.318695,0.000,0.268926
10,2.500,-140.319992,0.029664,-140.290328,7.172,0.286291
20,5.000,-140.321091,0.062654,-140.258436,15.147,0.305053
30,7.500,-140.322372,0.101207,-140.221166,24.468,0.339920
40,10.000,-140.322388,0.120122,-140.202265,29.041,0.326582
50,12.500,-140.319962,0.135061,-140.184900,32.653,0.386354
60,15.000,-140.313614,0.154344,-140.159270,37.314,0.463043
70,17.500,-140.305511,0.148161,-140.157350,35.820,0.498690
80,20.000,-140.294556,0.168589,-140.125967,40.758,0.539130
90,22.500,-140.282120,0.186037,-140.096082,44.977,0.572191
100,25.000,-140.269562,0.194955,-140.074607,47.132,0.540328
110,27.500,-140.257904,0.202796,-140.055108,49.028,0.465043
120,30.000,-140.244644,0.223181,-140.021464,53.956,0.437049
130,32.500,-140.228973,0.239259,-139.989714,57.844,0.464700
140,35.000,-140.212357,0.245604,-139.966753,59.377,0.482308
150,37.500,-140.197800,0.226439,-139.971361,54.744,0.458337
