step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-53.363415,0.000000,-53.363415,0.000,0.011570
10,2.500,-53.363297,0.011184,-53.352112,6.656,0.028371
20,5.000,-53.362713,0.022592,-53.340121,13.445,0.076197
30,7.500,-53.361305,0.031954,-53.329351,19.016,0.156171
40,10.000,-53.359131,0.050788,-53.308343,30.224,0.225113
50,12.500,-53.356045,0.061668,-53.294377,36.699,0.275799
60,15.000,-53.351280,0.068280,-53.283001,40.633,0.349743
70,17.500,-53.346237,0.057408,-53.288829,34.164,0.443958
80,20.000,-53.341793,0.069462,-53.272331,41.337,0.499297
90,22.500,-53.336327,0.095293,-53.241034,56.709,0.536151
100,25.000,-53.330601,0.102795,-53.227806,61.174,0.522509
110,27.500,-53.324993,0.107467,-53.217527,63.954,0.483800
120,30.000,-53.320095,0.103215,-53.216880,61.423,0.514974
130,32.500,-53.316906,0.101783,-53.215123,60.572,0.518529
140,35.000,-53.315159,0.127463,-53.187696,75.854,0.506548
150,37.500,-53.313183,0.143238,-53.169945,85.242,0.481534
