step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-29.673716,0.218900,-29.454816,423.372,0.005532
50,12.500,-29.433594,0.077092,-29.356501,149.103,2.087361
100,25.000,-29.567257,0.293619,-29.273638,567.884,1.508765
150,37.500,-29.406275,0.230055,-29.176220,444.946,2.557428
200,50.000,-29.201902,0.158815,-29.043087,307.163,2.808618
250,62.500,-29.574625,0.515806,-29.058819,997.613,1.396696
300,75.000,-29.372070,0.113022,-29.259049,218.594,2.331627
350,87.500,-29.596924,0.329480,-29.267444,637.243,1.059363
400,100.000,-29.462551,0.087279,-29.375272,168.806,2.148249
450,112.500,-29.518747,0.147497,-29.371250,285.272,1.803009
500,125.000,-29.605009,0.221008,-29.384001,427.448,1.237898
550,137.500,-29.470203,0.125160,-29.345043,242.071,1.690459
600,150.000,-29.452988,0.201828,-29.251160,390.352,2.257774
650,162.500,-29.536318,0.213264,-29.323054,412.471,1.610956
700,175.000,-29.531002,0.111019,-29.419983,214.721,1.558574
750,187.500,-29.613214,0.124395,-29.488819,240.591,1.179110
800,200.000,-29.557840,0.035974,-29.521866,69.577,1.448617
850,212.500,-29.621113,0.197265,-29.423847,381.529,0.947484
900,225.000,-29.520857,0.107271,-29.413585,207.472,1.695707
950,237.500,-29.618788,0.149295,-29.469493,288.750,0.900820
1000,250.000,-29.623745,0.081668,-29.542077,157.954,0.994839
