step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-29.673717,0.218900,-29.454818,423.372,0.005532
50,12.500,-29.433594,0.077092,-29.356501,149.103,2.087360
100,25.000,-29.567255,0.293619,-29.273636,567.884,1.508766
150,37.500,-29.406273,0.230055,-29.176218,444.946,2.557427
200,50.000,-29.201906,0.158816,-29.043091,307.163,2.808618
250,62.500,-29.574625,0.515806,-29.058819,997.613,1.396693
300,75.000,-29.372070,0.113022,-29.259049,218.594,2.331631
350,87.500,-29.596924,0.329480,-29.267444,637.244,1.059364
400,100.000,-29.462553,0.087279,-29.375274,168.806,2.148247
450,112.500,-29.518751,0.147497,-29.371254,285.272,1.803009
500,125.000,-29.605007,0.221008,-29.383999,427.448,1.237886
550,137.500,-29.470205,0.125160,-29.345045,242.071,1.690461
600,150.000,-29.452990,0.201828,-29.251162,390.352,2.257773
650,162.500,-29.536316,0.213264,-29.323052,412.471,1.610954
700,175.000,-29.531000,0.111019,-29.419981,214.721,1.558573
750,187.500,-29.613214,0.124395,-29.488820,240.591,1.179110
800,200.000,-29.557837,0.035974,-29.521862,69.577,1.448615
850,212.500,-29.621115,0.197265,-29.423849,381.528,0.947482
900,225.000,-29.520855,0.107271,-29.413584,207.472,1.695706
950,237.500,-29.618788,0.149295,-29.469493,288.750,0.900815
1000,250.000,-29.623743,0.081668,-29.542075,157.954,0.994846
