step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-140.318695,0.000000,-140.318695,0.000,0.268926
10,2.500,-140.320572,0.041631,-140.278941,10.065,0.279978
20,5.000,-140.322540,0.080145,-140.242396,19.376,0.299756
30,7.500,-140.325195,0.119251,-140.205944,28.830,0.277009
40,10.000,-140.326035,0.145431,-140.180603,35.160,0.281966
50,12.500,-140.321396,0.171190,-140.150206,41.387,0.393822
60,15.000,-140.311630,0.154087,-140.157543,37.252,0.476538
70,17.500,-140.298630,0.146153,-140.152476,35.334,0.518062
80,20.000,-140.282150,0.163570,-140.118580,39.545,0.571610
90,22.500,-140.263687,0.164622,-140.099065,39.799,0.635429
100,25.000,-140.246628,0.164767,-140.081860,39.834,0.657420
110,27.500,-140.229782,0.176198,-140.053585,42.598,0.673265
120,30.000,-140.211960,0.159946,-140.052014,38.669,0.663219
130,32.500,-140.198532,0.191766,-140.006766,46.361,0.629202
140,35.000,-140.187469,0.202408,-139.985061,48.934,0.699028
150,37.500,-140.175888,0.260591,-139.915297,63.001,0.738821
