step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-53.363415,0.000000,-53.363415,0.000,0.011569
10,2.500,-53.363380,0.009478,-53.353902,5.641,0.038706
20,5.000,-53.362930,0.019359,-53.343571,11.521,0.104214
30,7.500,-53.361843,0.022128,-53.339715,13.169,0.188223
40,10.000,-53.360600,0.037205,-53.323394,22.141,0.216725
50,12.500,-53.357765,0.048793,-53.308973,29.037,0.245233
60,15.000,-53.352852,0.042658,-53.310194,25.386,0.304950
70,17.500,-53.347366,0.033785,-53.313582,20.105,0.355460
80,20.000,-53.341801,0.046435,-53.295365,27.634,0.370185
90,22.500,-53.336475,0.046380,-53.290095,27.601,0.373960
100,25.000,-53.331814,0.070435,-53.261379,41.916,0.416561
110,27.500,-53.327995,0.081037,-53.246958,48.225,0.455214
120,30.000,-53.325420,0.080706,-53.244715,48.028,0.465933
130,32.500,-53.324657,0.086115,-53.238542,51.247,0.447405
140,35.000,-53.325703,0.071729,-53.253974,42.686,0.399372
150,37.500,-53.325722,0.083306,-53.242415,49.576,0.367874
