step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-140.318695,0.000000,-140.318695,0.000,0.268926
50,12.500,-140.281982,0.278404,-140.003578,67.307,0.628256
100,25.000,-140.122604,0.504884,-139.617720,122.061,1.165290
150,37.500,-139.990494,0.547958,-139.442536,132.475,1.192187
200,50.000,-139.950424,0.676875,-139.273550,163.642,1.383319
250,62.500,-139.896332,0.891096,-139.005236,215.432,1.427529
300,75.000,-139.726639,1.061031,-138.665608,256.516,2.044792
350,87.500,-139.623459,0.928416,-138.695043,224.455,1.245499
400,100.000,-139.616409,0.949431,-138.666979,229.535,1.234893
450,112.500,-139.562256,1.156881,-138.405374,279.689,1.325849
500,125.000,-139.424103,0.856650,-138.567452,207.105,1.165260
550,137.500,-139.372269,0.893260,-138.479009,215.955,1.501566
600,150.000,-139.378677,0.855276,-138.523401,206.772,1.255338
650,162.500,-139.390564,0.898857,-138.491707,217.308,1.349443
700,175.000,-139.487762,1.054249,-138.433514,254.876,1.404394
750,187.500,-139.418121,1.208097,-138.210025,292.071,1.655603
800,200.000,-139.358322,1.166678,-138.191644,282.057,1.610729
850,212.500,-139.316376,1.194551,-138.121825,288.796,1.408953
900,225.000,-139.200211,1.254242,-137.945969,303.227,1.434409
950,237.500,-139.066925,1.027017,-138.039908,248.292,1.284437
1000,250.000,-139.183319,1.094421,-138.088898,264.588,1.691052
