step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-53.363415,0.000000,-53.363415,0.000,0.011570
50,12.500,-53.348385,0.130397,-53.217988,77.600,0.266407
100,25.000,-53.325195,0.188193,-53.137003,111.994,0.524438
150,37.500,-53.237537,0.239333,-52.998205,142.428,0.908524
200,50.000,-53.208038,0.356790,-52.851248,212.327,1.095554
250,62.500,-53.210171,0.429494,-52.780676,255.594,1.578314
300,75.000,-53.150608,0.419898,-52.730710,249.883,2.005354
350,87.500,-53.273262,0.593139,-52.680123,352.979,1.487693
400,100.000,-53.473518,0.882552,-52.590966,525.210,1.059593
450,112.500,-53.395710,0.523798,-52.871912,311.714,1.377751
500,125.000,-53.313557,0.550205,-52.763352,327.429,1.371686
550,137.500,-53.442726,0.714592,-52.728134,425.256,0.996754
600,150.000,-53.212330,0.512979,-52.699351,305.276,2.372388
650,162.500,-53.110294,0.448517,-52.661777,266.914,1.575256
700,175.000,-53.185749,0.617030,-52.568719,367.197,1.143272
750,187.500,-53.092724,0.655161,-52.437563,389.889,1.809753
800,200.000,-53.096657,0.663117,-52.433540,394.623,1.127002
850,212.500,-53.204666,0.842987,-52.361679,501.665,1.366595
900,225.000,-53.161503,0.781967,-52.379536,465.351,2.575501
950,237.500,-53.147602,0.798687,-52.348915,475.302,1.415587
1000,250.000,-53.289333,0.642590,-52.646744,382.408,0.873206
