step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-29.673716,0.218900,-29.454816,423.372,0.005532
50,12.500,-29.433592,0.077092,-29.356500,149.103,2.087361
100,25.000,-29.567255,0.293619,-29.273636,567.884,1.508767
150,37.500,-29.406271,0.230055,-29.176216,444.946,2.557428
200,50.000,-29.201902,0.158815,-29.043087,307.163,2.808620
250,62.500,-29.574629,0.515806,-29.058823,997.614,1.396695
300,75.000,-29.372070,0.113022,-29.259049,218.594,2.331626
350,87.500,-29.596926,0.329480,-29.267445,637.244,1.059366
400,100.000,-29.462555,0.087279,-29.375276,168.806,2.148247
450,112.500,-29.518751,0.147497,-29.371254,285.272,1.803010
500,125.000,-29.605009,0.221008,-29.384001,427.448,1.237877
550,137.500,-29.470207,0.125160,-29.345047,242.071,1.690459
600,150.000,-29.452988,0.201828,-29.251160,390.352,2.257780
650,162.500,-29.536320,0.213264,-29.323056,412.471,1.610956
700,175.000,-29.531002,0.111019,-29.419983,214.721,1.558572
750,187.500,-29.613211,0.124395,-29.488816,240.591,1.179111
800,200.000,-29.557840,0.035974,-29.521866,69.577,1.448615
850,212.500,-29.621111,0.197265,-29.423845,381.529,0.947482
900,225.000,-29.520855,0.107271,-29.413584,207.472,1.695709
950,237.500,-29.618788,0.149295,-29.469493,288.750,0.900819
1000,250.000,-29.623741,0.081668,-29.542073,157.954,0.994841
