step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-315.206238,2.295025,-312.911213,317.056,0.124403
50,12.500,-314.163330,1.477605,-312.685725,204.130,2.894290
100,25.000,-313.853821,1.613514,-312.240306,222.906,2.605427
150,37.500,-314.106018,1.696102,-312.409916,234.315,2.723661
200,50.000,-313.984131,1.771058,-312.213073,244.670,2.619850
250,62.500,-313.862244,2.043329,-311.818915,282.284,2.684608
300,75.000,-313.585999,2.113144,-311.472854,291.929,3.077654
350,87.500,-313.488770,2.255195,-311.233575,311.553,2.311126
400,100.000,-313.620667,2.453966,-311.166701,339.013,3.821308
450,112.500,-313.640411,2.434802,-311.205610,336.366,2.429723
500,125.000,-313.375671,1.792156,-311.583515,247.585,4.112190
550,137.500,-313.759583,1.799219,-311.960363,248.560,3.785717
600,150.000,-313.695343,1.984793,-311.710550,274.197,4.027466
650,162.500,-313.940552,2.096417,-311.844134,289.618,2.988727
700,175.000,-314.167633,2.038944,-312.128690,281.678,3.383049
750,187.500,-314.020660,2.037528,-311.983132,281.483,3.001715
800,200.000,-313.859833,2.242144,-311.617689,309.750,2.535903
850,212.500,-313.460938,1.612905,-311.848033,222.821,3.139381
900,225.000,-313.582458,1.748032,-311.834427,241.489,2.274659
950,237.500,-313.766602,1.874255,-311.892346,258.927,2.458465
1000,250.000,-313.621826,1.981979,-311.639847,273.809,3.145473
