step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-315.206238,2.295025,-312.911213,317.056,0.124403
50,12.500,-314.163330,1.477604,-312.685726,204.130,2.894316
100,25.000,-313.853821,1.613515,-312.240306,222.906,2.605412
150,37.500,-314.106018,1.696103,-312.409915,234.315,2.723670
200,50.000,-313.984131,1.771058,-312.213073,244.670,2.619851
250,62.500,-313.862183,2.043329,-311.818854,282.284,2.684606
300,75.000,-313.586029,2.113143,-311.472886,291.929,3.077668
350,87.500,-313.488708,2.255197,-311.233512,311.553,2.311113
400,100.000,-313.620667,2.453968,-311.166698,339.013,3.821293
450,112.500,-313.640411,2.434800,-311.205612,336.365,2.429720
500,125.000,-313.375671,1.792154,-311.583518,247.584,4.112190
550,137.500,-313.759583,1.799218,-311.960364,248.560,3.785745
600,150.000,-313.695312,1.984796,-311.710516,274.198,4.027448
650,162.500,-313.940552,2.096417,-311.844134,289.618,2.988773
700,175.000,-314.167603,2.038943,-312.128660,281.678,3.383087
750,187.500,-314.020691,2.037529,-311.983162,281.483,3.001767
800,200.000,-313.859833,2.242148,-311.617685,309.751,2.535903
850,212.500,-313.460938,1.612910,-311.848028,222.822,3.139396
900,225.000,-313.582458,1.748033,-311.834425,241.489,2.274668
950,237.500,-313.766602,1.874256,-311.892345,258.927,2.458474
1000,250.000,-313.621887,1.981980,-311.639907,273.809,3.145521
