step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-140.318710,0.000000,-140.318710,0.000,0.268925
10,2.500,-140.320328,0.032272,-140.288055,7.802,0.270644
20,5.000,-140.322723,0.058752,-140.263972,14.204,0.269868
30,7.500,-140.322693,0.076306,-140.246387,18.448,0.298098
40,10.000,-140.321350,0.089731,-140.231619,21.693,0.343003
50,12.500,-140.319382,0.108845,-140.210537,26.314,0.407725
60,15.000,-140.314590,0.121648,-140.192943,29.410,0.445896
70,17.500,-140.308487,0.146680,-140.161806,35.462,0.414016
80,20.000,-140.300858,0.155901,-140.144957,37.691,0.334807
90,22.500,-140.290619,0.175583,-140.115036,42.449,0.415139
100,25.000,-140.278168,0.184182,-140.093986,44.528,0.483332
110,27.500,-140.265808,0.176851,-140.088957,42.756,0.501994
120,30.000,-140.252167,0.165043,-140.087124,39.901,0.472849
130,32.500,-140.237869,0.181957,-140.055912,43.990,0.406297
140,35.000,-140.224548,0.168937,-140.055611,40.842,0.388592
150,37.500,-140.213348,0.172561,-140.040788,41.718,0.417966
