step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-53.363419,0.000000,-53.363419,0.000,0.011570
10,2.500,-53.363365,0.009656,-53.353709,5.746,0.038601
20,5.000,-53.362774,0.022823,-53.339951,13.582,0.134083
30,7.500,-53.361038,0.035506,-53.325532,21.130,0.234085
40,10.000,-53.358269,0.039262,-53.319007,23.365,0.339988
50,12.500,-53.354050,0.063367,-53.290683,37.710,0.455678
60,15.000,-53.347244,0.105108,-53.242137,62.550,0.533092
70,17.500,-53.338131,0.081441,-53.256690,48.466,0.579069
80,20.000,-53.328304,0.082713,-53.245591,49.223,0.614124
90,22.500,-53.318848,0.099563,-53.219285,59.250,0.634103
100,25.000,-53.310146,0.116692,-53.193454,69.444,0.581589
110,27.500,-53.303242,0.101129,-53.202112,60.183,0.577574
120,30.000,-53.299271,0.132008,-53.167263,78.558,0.589298
130,32.500,-53.297333,0.123779,-53.173554,73.661,0.582374
140,35.000,-53.299644,0.154677,-53.144968,92.049,0.542652
150,37.500,-53.305977,0.180228,-53.125749,107.254,0.478790
