step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-140.318695,0.000000,-140.318695,0.000,0.268926
10,2.500,-140.319199,0.028070,-140.291129,6.786,0.281889
20,5.000,-140.319977,0.050934,-140.269043,12.314,0.293576
30,7.500,-140.319763,0.084030,-140.235733,20.315,0.312083
40,10.000,-140.318115,0.089656,-140.228459,21.675,0.396534
50,12.500,-140.315338,0.112648,-140.202690,27.234,0.514004
60,15.000,-140.309372,0.142009,-140.167363,34.332,0.592887
70,17.500,-140.300888,0.161573,-140.139315,39.062,0.650808
80,20.000,-140.290680,0.174935,-140.115745,42.292,0.677057
90,22.500,-140.277679,0.194580,-140.083100,47.042,0.706124
100,25.000,-140.261658,0.219877,-140.041781,53.158,0.768150
110,27.500,-140.245071,0.212563,-140.032508,51.389,0.738685
120,30.000,-140.227432,0.223082,-140.004351,53.932,0.738113
130,32.500,-140.210587,0.268114,-139.942473,64.819,0.783002
140,35.000,-140.194061,0.257901,-139.936160,62.350,0.826758
150,37.500,-140.179153,0.282859,-139.896295,68.384,0.843722
