step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-53.363415,0.635031,-52.728384,377.909,0.011570
50,12.500,-53.182079,0.379091,-52.802988,225.599,1.439921
100,25.000,-53.113197,0.289981,-52.823216,172.569,1.032302
150,37.500,-53.191929,0.431704,-52.760224,256.909,0.706039
200,50.000,-53.036419,0.492701,-52.543718,293.208,1.728605
250,62.500,-53.275909,1.048255,-52.227654,623.820,1.206917
300,75.000,-53.517048,0.810791,-52.706257,482.504,1.175574
350,87.500,-53.411896,0.513732,-52.898163,305.724,1.798192
400,100.000,-53.311249,0.497075,-52.814174,295.811,1.362545
450,112.500,-53.476276,0.787783,-52.688494,468.812,1.051197
500,125.000,-53.341930,0.742765,-52.599165,442.022,1.576824
550,137.500,-53.357796,0.653439,-52.704357,388.864,1.593909
600,150.000,-53.646809,0.811801,-52.835008,483.106,1.417724
650,162.500,-53.641396,0.742510,-52.898885,441.871,1.582629
700,175.000,-53.600533,0.495103,-53.105430,294.638,0.915749
750,187.500,-53.553833,0.341916,-53.211917,203.475,1.215502
800,200.000,-53.640350,0.413086,-53.227264,245.829,0.984849
850,212.500,-53.754364,0.486605,-53.267759,289.580,1.047701
900,225.000,-53.706139,0.518099,-53.188040,308.322,1.337195
950,237.500,-53.614994,0.614584,-53.000411,365.741,1.950777
1000,250.000,-53.683350,0.551157,-53.132192,327.996,0.905021
