step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-140.318695,0.000000,-140.318695,0.000,0.268926
50,12.500,-140.280090,0.379451,-139.900640,91.736,0.606089
100,25.000,-140.070404,0.480893,-139.589511,116.261,0.776789
150,37.500,-139.908859,0.605533,-139.303327,146.394,1.004796
200,50.000,-139.764374,0.812798,-138.951576,196.503,2.030935
250,62.500,-139.651245,0.870672,-138.780573,210.494,1.195320
300,75.000,-139.466782,0.819368,-138.647413,198.091,1.798017
350,87.500,-139.531631,1.042138,-138.489493,251.948,1.617899
400,100.000,-139.386734,0.925593,-138.461141,223.772,1.635721
450,112.500,-139.428955,0.964760,-138.464195,233.241,1.134387
500,125.000,-139.449051,1.188869,-138.260182,287.422,1.293240
550,137.500,-139.099274,0.770229,-138.329044,186.211,2.406667
600,150.000,-139.275482,0.933431,-138.342051,225.667,1.753014
650,162.500,-139.425934,1.226211,-138.199722,296.450,1.542044
700,175.000,-139.395294,1.046685,-138.348610,253.047,1.465798
750,187.500,-139.486908,1.126522,-138.360386,272.349,1.273002
800,200.000,-139.435806,1.291066,-138.144740,312.129,1.076484
850,212.500,-139.329941,1.053858,-138.276083,254.782,1.595025
900,225.000,-139.548523,1.135493,-138.413030,274.518,0.903608
950,237.500,-139.632568,0.907208,-138.725360,219.327,1.227504
1000,250.000,-139.588272,0.915593,-138.672679,221.355,1.182506
