step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-53.363415,0.000000,-53.363415,0.000,0.011570
50,12.500,-53.328449,0.165815,-53.162635,98.677,0.724800
100,25.000,-53.275616,0.198739,-53.076877,118.270,0.618992
150,37.500,-53.221981,0.254616,-52.967365,151.523,0.831531
200,50.000,-53.192593,0.169560,-53.023033,100.906,1.364828
250,62.500,-53.212395,0.382458,-52.829937,227.602,0.975292
300,75.000,-53.262947,0.488946,-52.774001,290.974,1.160485
350,87.500,-53.307701,0.491292,-52.816409,292.370,1.678468
400,100.000,-53.512257,0.749202,-52.763054,445.853,1.422511
450,112.500,-53.492229,0.782328,-52.709902,465.566,1.276310
500,125.000,-53.365974,0.573272,-52.792702,341.156,1.434336
550,137.500,-53.407307,0.597877,-52.809429,355.799,2.021829
600,150.000,-53.445572,0.601146,-52.844426,357.744,1.758414
650,162.500,-53.557671,0.489725,-53.067946,291.437,1.354404
700,175.000,-53.576187,0.662831,-52.913356,394.453,1.367191
750,187.500,-53.610298,0.585207,-53.025091,348.259,1.385635
800,200.000,-53.522541,0.592069,-52.930472,352.342,1.353038
850,212.500,-53.592751,0.729140,-52.863610,433.914,1.256485
900,225.000,-53.700844,0.585863,-53.114980,348.649,0.937059
950,237.500,-53.647923,0.529889,-53.118033,315.339,1.752653
1000,250.000,-53.689335,0.680002,-53.009332,404.672,1.329663
