step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-53.363415,0.000000,-53.363415,0.000,0.011570
10,2.500,-53.363380,0.014250,-53.349131,8.480,0.031075
20,5.000,-53.362854,0.025107,-53.337747,14.941,0.109791
30,7.500,-53.360806,0.039329,-53.321477,23.405,0.233145
40,10.000,-53.355843,0.080282,-53.275561,47.776,0.374312
50,12.500,-53.346951,0.092274,-53.254676,54.913,0.502650
60,15.000,-53.335781,0.099367,-53.236414,59.134,0.647476
70,17.500,-53.324276,0.109688,-53.214588,65.276,0.734108
80,20.000,-53.313393,0.086239,-53.227153,51.321,0.779667
90,22.500,-53.305702,0.104122,-53.201580,61.963,0.818599
100,25.000,-53.302101,0.102790,-53.199311,61.171,0.805351
110,27.500,-53.303318,0.141103,-53.162215,83.971,0.733479
120,30.000,-53.309605,0.187848,-53.121757,111.789,0.582902
130,32.500,-53.317318,0.208972,-53.108346,124.360,0.509035
140,35.000,-53.323521,0.210616,-53.112905,125.338,0.503651
150,37.500,-53.330376,0.232137,-53.098238,138.146,0.591258
