step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-140.318695,0.000000,-140.318695,0.000,0.268926
10,2.500,-140.320129,0.033125,-140.287004,8.008,0.290246
20,5.000,-140.323013,0.057666,-140.265347,13.941,0.319193
30,7.500,-140.325439,0.081993,-140.243447,19.823,0.341172
40,10.000,-140.325027,0.118850,-140.206177,28.733,0.372544
50,12.500,-140.321640,0.131626,-140.190014,31.822,0.389509
60,15.000,-140.316055,0.181822,-140.134233,43.958,0.428076
70,17.500,-140.305832,0.203907,-140.101925,49.297,0.477363
80,20.000,-140.291290,0.210100,-140.081190,50.794,0.487516
90,22.500,-140.272446,0.236653,-140.035792,57.213,0.472632
100,25.000,-140.250946,0.225191,-140.025755,54.442,0.453196
110,27.500,-140.229004,0.248573,-139.980431,60.095,0.488075
120,30.000,-140.204361,0.253118,-139.951243,61.194,0.524095
130,32.500,-140.179596,0.266415,-139.913181,64.409,0.535794
140,35.000,-140.153870,0.278675,-139.875195,67.373,0.535285
150,37.500,-140.129944,0.285862,-139.844082,69.110,0.561225
