step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-53.363415,0.000000,-53.363415,0.000,0.011569
10,2.500,-53.363316,0.015919,-53.347397,9.473,0.034512
20,5.000,-53.362938,0.030781,-53.332157,18.318,0.083018
30,7.500,-53.361481,0.051704,-53.309776,30.769,0.159046
40,10.000,-53.358395,0.068581,-53.289814,40.813,0.265681
50,12.500,-53.354851,0.065669,-53.289182,39.080,0.335340
60,15.000,-53.351028,0.056047,-53.294982,33.354,0.382470
70,17.500,-53.347076,0.051519,-53.295558,30.659,0.412868
80,20.000,-53.343983,0.075833,-53.268150,45.129,0.412247
90,22.500,-53.341740,0.073905,-53.267835,43.981,0.372168
100,25.000,-53.339218,0.075242,-53.263976,44.777,0.386422
110,27.500,-53.336697,0.071875,-53.264822,42.773,0.455240
120,30.000,-53.335560,0.089461,-53.246099,53.238,0.554541
130,32.500,-53.334839,0.078150,-53.256689,46.507,0.670436
140,35.000,-53.333340,0.094446,-53.238893,56.205,0.794164
150,37.500,-53.334007,0.106966,-53.227042,63.656,0.891554
