step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-29.673717,0.218900,-29.454818,423.372,0.005532
50,12.500,-29.433596,0.077092,-29.356503,149.103,2.087360
100,25.000,-29.567255,0.293619,-29.273636,567.884,1.508763
150,37.500,-29.406271,0.230055,-29.176216,444.946,2.557429
200,50.000,-29.201902,0.158815,-29.043087,307.163,2.808619
250,62.500,-29.574629,0.515806,-29.058823,997.614,1.396693
300,75.000,-29.372072,0.113022,-29.259051,218.594,2.331631
350,87.500,-29.596924,0.329480,-29.267444,637.244,1.059366
400,100.000,-29.462555,0.087279,-29.375276,168.806,2.148249
450,112.500,-29.518749,0.147497,-29.371252,285.272,1.803007
500,125.000,-29.605013,0.221008,-29.384005,427.448,1.237889
550,137.500,-29.470203,0.125160,-29.345043,242.071,1.690456
600,150.000,-29.452986,0.201828,-29.251158,390.352,2.257779
650,162.500,-29.536316,0.213264,-29.323052,412.472,1.610956
700,175.000,-29.531000,0.111020,-29.419981,214.721,1.558573
750,187.500,-29.613213,0.124395,-29.488818,240.591,1.179110
800,200.000,-29.557837,0.035974,-29.521862,69.577,1.448619
850,212.500,-29.621111,0.197266,-29.423845,381.529,0.947482
900,225.000,-29.520855,0.107271,-29.413584,207.472,1.695708
950,237.500,-29.618788,0.149295,-29.469493,288.750,0.900820
1000,250.000,-29.623739,0.081668,-29.542071,157.954,0.994847
