step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-140.318695,0.000000,-140.318695,0.000,0.268926
50,12.500,-140.290787,0.352656,-139.938131,85.258,0.455057
100,25.000,-140.155670,0.403742,-139.751928,97.609,0.754406
150,37.500,-139.979660,0.534958,-139.444702,129.332,1.055291
200,50.000,-139.879120,0.617156,-139.261963,149.204,1.118781
250,62.500,-139.804321,0.660832,-139.143490,159.763,0.970846
300,75.000,-139.582321,0.835236,-138.747085,201.927,0.992579
350,87.500,-139.483093,0.888831,-138.594262,214.885,1.371022
400,100.000,-139.498703,1.154218,-138.344485,279.045,1.476276
450,112.500,-139.352005,0.982298,-138.369707,237.481,1.490492
500,125.000,-139.212372,0.872327,-138.340045,210.894,2.283373
550,137.500,-139.285599,1.234822,-138.050776,298.532,1.640122
600,150.000,-139.248932,1.389251,-137.859681,335.867,1.504326
650,162.500,-139.101242,1.219983,-137.881259,294.944,1.700328
700,175.000,-139.081909,1.108970,-137.972940,268.105,1.158054
750,187.500,-139.120651,1.197715,-137.922937,289.561,1.434623
800,200.000,-139.357056,1.328387,-138.028669,321.152,2.038428
850,212.500,-139.367172,1.497141,-137.870031,361.950,1.950267
900,225.000,-139.374954,1.442100,-137.932854,348.643,2.130119
950,237.500,-139.412064,1.180577,-138.231486,285.417,1.506415
1000,250.000,-139.162369,1.028377,-138.133992,248.621,1.780460
