step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-53.363415,0.000000,-53.363415,0.000,0.011570
50,12.500,-53.330025,0.085787,-53.244238,51.052,0.720632
100,25.000,-53.290653,0.142913,-53.147740,85.048,0.685481
150,37.500,-53.222187,0.154143,-53.068044,91.731,1.084126
200,50.000,-53.255447,0.301397,-52.954050,179.363,1.498441
250,62.500,-53.240002,0.301157,-52.938845,179.219,1.230908
300,75.000,-53.245197,0.327992,-52.917206,195.189,0.951122
350,87.500,-53.328854,0.404891,-52.923963,240.952,1.155616
400,100.000,-53.502293,0.544361,-52.957932,323.951,1.124416
450,112.500,-53.607235,0.438096,-53.169139,260.713,1.117384
500,125.000,-53.504314,0.319200,-53.185114,189.957,1.178007
550,137.500,-53.504704,0.426267,-53.078437,253.673,1.105269
600,150.000,-53.667934,0.566796,-53.101139,337.302,1.432601
650,162.500,-53.716003,0.453045,-53.262958,269.609,0.752451
700,175.000,-53.655258,0.475032,-53.180226,282.694,1.374669
750,187.500,-53.732681,0.562198,-53.170483,334.566,0.943498
800,200.000,-53.785927,0.517304,-53.268623,307.849,0.832466
850,212.500,-53.759720,0.540634,-53.219086,321.733,1.175953
900,225.000,-53.611889,0.361236,-53.250653,214.973,1.259639
950,237.500,-53.537640,0.337105,-53.200535,200.612,2.161120
1000,250.000,-53.558762,0.499242,-53.059519,297.101,2.017053
