step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-315.206238,2.295025,-312.911213,317.056,0.124402
50,12.500,-314.163330,1.477604,-312.685726,204.130,2.894316
100,25.000,-313.853821,1.613515,-312.240306,222.906,2.605413
150,37.500,-314.105988,1.696102,-312.409885,234.315,2.723651
200,50.000,-313.984131,1.771058,-312.213073,244.670,2.619852
250,62.500,-313.862244,2.043329,-311.818915,282.284,2.684610
300,75.000,-313.585999,2.113144,-311.472854,291.929,3.077663
350,87.500,-313.488708,2.255194,-311.233514,311.553,2.311114
400,100.000,-313.620636,2.453967,-311.166669,339.013,3.821308
450,112.500,-313.640411,2.434800,-311.205611,336.365,2.429693
500,125.000,-313.375702,1.792153,-311.583549,247.584,4.112184
550,137.500,-313.759583,1.799219,-311.960363,248.561,3.785708
600,150.000,-313.695312,1.984794,-311.710518,274.198,4.027444
650,162.500,-313.940552,2.096417,-311.844135,289.618,2.988758
700,175.000,-314.167603,2.038944,-312.128658,281.678,3.383087
750,187.500,-314.020691,2.037529,-311.983162,281.483,3.001764
800,200.000,-313.859802,2.242146,-311.617656,309.750,2.535892
850,212.500,-313.460938,1.612906,-311.848031,222.822,3.139384
900,225.000,-313.582428,1.748033,-311.834395,241.489,2.274661
950,237.500,-313.766632,1.874256,-311.892376,258.927,2.458480
1000,250.000,-313.621826,1.981982,-311.639844,273.809,3.145513
