step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-315.206238,2.295025,-312.911213,317.056,0.124402
50,12.500,-314.163330,1.477605,-312.685725,204.130,2.894316
100,25.000,-313.853821,1.613515,-312.240306,222.906,2.605413
150,37.500,-314.105988,1.696102,-312.409885,234.315,2.723667
200,50.000,-313.984131,1.771058,-312.213073,244.670,2.619849
250,62.500,-313.862213,2.043328,-311.818885,282.284,2.684608
300,75.000,-313.585999,2.113145,-311.472854,291.929,3.077684
350,87.500,-313.488739,2.255197,-311.233542,311.553,2.311122
400,100.000,-313.620667,2.453967,-311.166700,339.013,3.821312
450,112.500,-313.640381,2.434801,-311.205580,336.365,2.429723
500,125.000,-313.375671,1.792155,-311.583516,247.585,4.112189
550,137.500,-313.759583,1.799221,-311.960362,248.561,3.785711
600,150.000,-313.695374,1.984794,-311.710579,274.197,4.027462
650,162.500,-313.940552,2.096418,-311.844134,289.618,2.988777
700,175.000,-314.167603,2.038943,-312.128659,281.678,3.383051
750,187.500,-314.020691,2.037526,-311.983165,281.482,3.001757
800,200.000,-313.859833,2.242142,-311.617690,309.750,2.535911
850,212.500,-313.460938,1.612907,-311.848031,222.822,3.139389
900,225.000,-313.582428,1.748032,-311.834396,241.489,2.274658
950,237.500,-313.766663,1.874255,-311.892407,258.927,2.458493
1000,250.000,-313.621826,1.981983,-311.639843,273.809,3.145489
