step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-315.206238,2.295025,-312.911213,317.056,0.124403
50,12.500,-314.163330,1.477604,-312.685726,204.130,2.894290
100,25.000,-313.853821,1.613514,-312.240307,222.905,2.605425
150,37.500,-314.106018,1.696101,-312.409917,234.315,2.723644
200,50.000,-313.984131,1.771059,-312.213072,244.670,2.619849
250,62.500,-313.862213,2.043330,-311.818883,282.284,2.684619
300,75.000,-313.585999,2.113145,-311.472854,291.929,3.077677
350,87.500,-313.488708,2.255196,-311.233513,311.553,2.311122
400,100.000,-313.620667,2.453968,-311.166699,339.013,3.821296
450,112.500,-313.640411,2.434801,-311.205610,336.366,2.429721
500,125.000,-313.375671,1.792156,-311.583515,247.585,4.112189
550,137.500,-313.759644,1.799221,-311.960422,248.561,3.785712
600,150.000,-313.695374,1.984793,-311.710581,274.197,4.027469
650,162.500,-313.940552,2.096416,-311.844136,289.618,2.988760
700,175.000,-314.167603,2.038943,-312.128660,281.678,3.383051
750,187.500,-314.020691,2.037527,-311.983164,281.483,3.001741
800,200.000,-313.859802,2.242145,-311.617657,309.750,2.535906
850,212.500,-313.460938,1.612906,-311.848032,222.821,3.139393
900,225.000,-313.582428,1.748032,-311.834396,241.489,2.274664
950,237.500,-313.766663,1.874255,-311.892407,258.927,2.458494
1000,250.000,-313.621826,1.981981,-311.639845,273.809,3.145471
