step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-315.206238,2.295025,-312.911213,317.056,0.124402
50,12.500,-314.163330,1.477605,-312.685725,204.130,2.894290
100,25.000,-313.853821,1.613516,-312.240305,222.906,2.605417
150,37.500,-314.106018,1.696103,-312.409915,234.315,2.723655
200,50.000,-313.984131,1.771060,-312.213071,244.670,2.619850
250,62.500,-313.862244,2.043329,-311.818914,282.284,2.684608
300,75.000,-313.585999,2.113145,-311.472854,291.929,3.077685
350,87.500,-313.488739,2.255197,-311.233542,311.553,2.311117
400,100.000,-313.620667,2.453970,-311.166697,339.014,3.821303
450,112.500,-313.640381,2.434803,-311.205578,336.366,2.429700
500,125.000,-313.375671,1.792155,-311.583516,247.585,4.112193
550,137.500,-313.759644,1.799220,-311.960423,248.561,3.785706
600,150.000,-313.695312,1.984796,-311.710516,274.198,4.027483
650,162.500,-313.940552,2.096418,-311.844134,289.618,2.988766
700,175.000,-314.167633,2.038944,-312.128689,281.678,3.383085
750,187.500,-314.020691,2.037530,-311.983161,281.483,3.001777
800,200.000,-313.859802,2.242149,-311.617654,309.751,2.535896
850,212.500,-313.460938,1.612907,-311.848031,222.822,3.139382
900,225.000,-313.582458,1.748032,-311.834426,241.489,2.274661
950,237.500,-313.766602,1.874256,-311.892345,258.927,2.458465
1000,250.000,-313.621857,1.981981,-311.639876,273.809,3.145512
