step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-29.673717,0.218900,-29.454818,423.372,0.005532
50,12.500,-29.433594,0.077092,-29.356501,149.103,2.087360
100,25.000,-29.567259,0.293619,-29.273640,567.884,1.508765
150,37.500,-29.406275,0.230055,-29.176220,444.946,2.557428
200,50.000,-29.201904,0.158815,-29.043089,307.163,2.808619
250,62.500,-29.574625,0.515806,-29.058819,997.613,1.396695
300,75.000,-29.372068,0.113022,-29.259047,218.594,2.331632
350,87.500,-29.596926,0.329480,-29.267445,637.244,1.059362
400,100.000,-29.462551,0.087279,-29.375272,168.805,2.148247
450,112.500,-29.518751,0.147497,-29.371254,285.272,1.803008
500,125.000,-29.605009,0.221008,-29.384002,427.448,1.237898
550,137.500,-29.470203,0.125160,-29.345043,242.071,1.690463
600,150.000,-29.452986,0.201828,-29.251158,390.352,2.257777
650,162.500,-29.536316,0.213264,-29.323052,412.471,1.610955
700,175.000,-29.531000,0.111019,-29.419981,214.721,1.558573
750,187.500,-29.613213,0.124395,-29.488818,240.590,1.179109
800,200.000,-29.557840,0.035974,-29.521866,69.577,1.448611
850,212.500,-29.621109,0.197265,-29.423844,381.528,0.947480
900,225.000,-29.520857,0.107271,-29.413586,207.472,1.695703
950,237.500,-29.618788,0.149295,-29.469493,288.749,0.900819
1000,250.000,-29.623743,0.081668,-29.542075,157.954,0.994845
