step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-315.206238,2.295025,-312.911213,317.056,0.124403
50,12.500,-314.163330,1.477604,-312.685726,204.130,2.894317
100,25.000,-313.853821,1.613514,-312.240307,222.905,2.605423
150,37.500,-314.106018,1.696101,-312.409917,234.315,2.723652
200,50.000,-313.984161,1.771058,-312.213104,244.670,2.619851
250,62.500,-313.862183,2.043327,-311.818855,282.284,2.684608
300,75.000,-313.585999,2.113145,-311.472853,291.929,3.077674
350,87.500,-313.488708,2.255196,-311.233512,311.553,2.311103
400,100.000,-313.620667,2.453965,-311.166702,339.013,3.821305
450,112.500,-313.640411,2.434800,-311.205611,336.365,2.429709
500,125.000,-313.375671,1.792155,-311.583516,247.585,4.112163
550,137.500,-313.759583,1.799218,-311.960364,248.560,3.785690
600,150.000,-313.695343,1.984794,-311.710550,274.197,4.027449
650,162.500,-313.940582,2.096418,-311.844165,289.618,2.988768
700,175.000,-314.167603,2.038942,-312.128660,281.678,3.383051
750,187.500,-314.020660,2.037528,-311.983133,281.483,3.001768
800,200.000,-313.859863,2.242147,-311.617716,309.751,2.535896
850,212.500,-313.460938,1.612907,-311.848031,222.822,3.139382
900,225.000,-313.582458,1.748032,-311.834426,241.489,2.274653
950,237.500,-313.766663,1.874255,-311.892407,258.927,2.458465
1000,250.000,-313.621857,1.981979,-311.639878,273.809,3.145488
