step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-140.318695,1.274157,-139.044538,308.041,0.268926
50,12.500,-139.851456,0.847274,-139.004181,204.838,1.960455
100,25.000,-139.601974,0.780619,-138.821355,188.723,1.295151
150,37.500,-139.674225,0.936768,-138.737456,226.474,1.514399
200,50.000,-139.387634,1.172794,-138.214840,283.536,1.969673
250,62.500,-139.300903,1.168488,-138.132416,282.495,1.570454
300,75.000,-139.198669,1.156107,-138.042562,279.502,2.250299
350,87.500,-139.331177,1.212081,-138.119096,293.034,1.884381
400,100.000,-139.514572,1.379998,-138.134575,333.629,1.493468
450,112.500,-139.086517,0.975869,-138.110649,235.927,1.699832
500,125.000,-138.850983,0.800566,-138.050417,193.545,1.425634
550,137.500,-139.044144,0.984751,-138.059393,238.074,1.291427
600,150.000,-139.214539,1.216332,-137.998206,294.062,2.181996
650,162.500,-139.489761,1.313965,-138.175797,317.665,1.452654
700,175.000,-139.462357,1.231831,-138.230525,297.809,1.432007
750,187.500,-139.311295,1.040979,-138.270316,251.668,2.106103
800,200.000,-139.417114,1.012791,-138.404323,244.853,1.624117
850,212.500,-139.333130,0.892699,-138.440431,215.820,1.740926
900,225.000,-139.292618,0.926404,-138.366214,223.968,1.537533
950,237.500,-139.213333,0.938639,-138.274694,226.926,2.165582
1000,250.000,-139.360428,1.124755,-138.235673,271.922,1.360953
