step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-315.206238,2.295025,-312.911213,317.056,0.124403
50,12.500,-314.163330,1.477604,-312.685726,204.130,2.894290
100,25.000,-313.853821,1.613514,-312.240306,222.906,2.605412
150,37.500,-314.106018,1.696101,-312.409917,234.315,2.723663
200,50.000,-313.984131,1.771058,-312.213073,244.670,2.619853
250,62.500,-313.862183,2.043328,-311.818855,282.284,2.684608
300,75.000,-313.586029,2.113142,-311.472887,291.929,3.077652
350,87.500,-313.488708,2.255192,-311.233516,311.553,2.311122
400,100.000,-313.620667,2.453964,-311.166703,339.013,3.821304
450,112.500,-313.640411,2.434797,-311.205614,336.365,2.429715
500,125.000,-313.375671,1.792154,-311.583517,247.584,4.112178
550,137.500,-313.759644,1.799219,-311.960425,248.560,3.785706
600,150.000,-313.695343,1.984791,-311.710552,274.197,4.027465
650,162.500,-313.940582,2.096415,-311.844167,289.618,2.988775
700,175.000,-314.167603,2.038944,-312.128659,281.678,3.383088
750,187.500,-314.020660,2.037530,-311.983130,281.483,3.001755
800,200.000,-313.859833,2.242147,-311.617686,309.751,2.535905
850,212.500,-313.460907,1.612906,-311.848001,222.821,3.139387
900,225.000,-313.582458,1.748033,-311.834426,241.489,2.274666
950,237.500,-313.766602,1.874257,-311.892344,258.927,2.458480
1000,250.000,-313.621826,1.981982,-311.639845,273.809,3.145495
