step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-140.318695,0.000000,-140.318695,0.000,0.268926
10,2.500,-140.321808,0.034501,-140.287307,8.341,0.274514
20,5.000,-140.327011,0.078726,-140.248285,19.033,0.273801
30,7.500,-140.330154,0.101744,-140.228410,24.598,0.259461
40,10.000,-140.331207,0.152177,-140.179030,36.791,0.268167
50,12.500,-140.327881,0.194107,-140.133774,46.927,0.331453
60,15.000,-140.318649,0.204359,-140.114291,49.406,0.379584
70,17.500,-140.303650,0.223915,-140.079735,54.134,0.407460
80,20.000,-140.283417,0.258411,-140.025006,62.474,0.383710
90,22.500,-140.260559,0.250691,-140.009869,60.607,0.395424
100,25.000,-140.237000,0.233992,-140.003008,56.570,0.478704
110,27.500,-140.210999,0.270050,-139.940949,65.287,0.562915
120,30.000,-140.184708,0.251516,-139.933191,60.807,0.645225
130,32.500,-140.162231,0.238077,-139.924155,57.558,0.700444
140,35.000,-140.144363,0.234639,-139.909724,56.727,0.732384
150,37.500,-140.133835,0.248511,-139.885324,60.080,0.730040
