step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-140.318695,0.000000,-140.318695,0.000,0.268926
10,2.500,-140.319199,0.043199,-140.275999,10.444,0.314674
20,5.000,-140.319016,0.074819,-140.244196,18.088,0.374342
30,7.500,-140.316452,0.112363,-140.204089,27.165,0.423355
40,10.000,-140.311340,0.152746,-140.158594,36.928,0.465031
50,12.500,-140.302490,0.169648,-140.132842,41.014,0.500502
60,15.000,-140.290131,0.179639,-140.110492,43.430,0.608642
70,17.500,-140.276077,0.185374,-140.090703,44.816,0.721047
80,20.000,-140.260696,0.213790,-140.046907,51.686,0.781817
90,22.500,-140.245239,0.226097,-140.019142,54.661,0.823637
100,25.000,-140.229904,0.265629,-139.964276,64.219,0.836580
110,27.500,-140.210861,0.266340,-139.944521,64.391,0.821292
120,30.000,-140.191422,0.286187,-139.905235,69.189,0.754970
130,32.500,-140.174194,0.285213,-139.888981,68.953,0.631568
140,35.000,-140.159622,0.293389,-139.866233,70.930,0.592801
150,37.500,-140.146057,0.298171,-139.847886,72.086,0.673991
