step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-140.318695,0.000000,-140.318695,0.000,0.268925
10,2.500,-140.318878,0.026772,-140.292106,6.472,0.279814
20,5.000,-140.318695,0.053650,-140.265045,12.971,0.289068
30,7.500,-140.317459,0.078545,-140.238914,18.989,0.316544
40,10.000,-140.315292,0.090934,-140.224358,21.984,0.332876
50,12.500,-140.311981,0.103909,-140.208072,25.121,0.345232
60,15.000,-140.306641,0.126770,-140.179870,30.648,0.379151
70,17.500,-140.297134,0.158956,-140.138179,38.429,0.475116
80,20.000,-140.283813,0.180288,-140.103525,43.587,0.564361
90,22.500,-140.269028,0.193440,-140.075588,46.766,0.632265
100,25.000,-140.254761,0.223898,-140.030863,54.130,0.681527
110,27.500,-140.239700,0.259456,-139.980244,62.726,0.693952
120,30.000,-140.221527,0.260771,-139.960757,63.044,0.663940
130,32.500,-140.200073,0.288514,-139.911560,69.751,0.597452
140,35.000,-140.177399,0.296808,-139.880591,71.756,0.510658
150,37.500,-140.153152,0.293173,-139.859979,70.878,0.458050
