step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-140.318695,0.000000,-140.318695,0.000,0.268926
10,2.500,-140.319534,0.030611,-140.288923,7.401,0.280205
20,5.000,-140.320786,0.067278,-140.253507,16.265,0.315568
30,7.500,-140.319763,0.097430,-140.222334,23.555,0.372517
40,10.000,-140.316406,0.125174,-140.191232,30.262,0.431439
50,12.500,-140.310150,0.137284,-140.172867,33.190,0.479689
60,15.000,-140.300232,0.168901,-140.131331,40.834,0.518254
70,17.500,-140.290054,0.188405,-140.101649,45.549,0.525853
80,20.000,-140.277664,0.176591,-140.101073,42.693,0.491897
90,22.500,-140.263199,0.175781,-140.087418,42.497,0.446730
100,25.000,-140.247299,0.191993,-140.055306,46.416,0.466493
110,27.500,-140.231232,0.179702,-140.051530,43.445,0.480399
120,30.000,-140.213547,0.188349,-140.025198,45.535,0.566906
130,32.500,-140.195679,0.190919,-140.004760,46.157,0.639513
140,35.000,-140.182251,0.190055,-139.992196,45.948,0.683052
150,37.500,-140.174591,0.182176,-139.992415,44.043,0.718016
