step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-59.488682,0.000000,-59.488682,0.000,0.552414
10,2.500,-59.507950,0.033405,-59.474545,21.536,0.341298
20,5.000,-59.490803,0.026791,-59.464011,17.272,0.570108
30,7.500,-59.487873,0.039920,-59.447953,25.736,0.528755
40,10.000,-59.487629,0.054670,-59.432959,35.246,0.851879
50,12.500,-59.475056,0.050860,-59.424196,32.789,0.737024
60,15.000,-59.476799,0.060178,-59.416621,38.797,0.688369
70,17.500,-59.448753,0.045447,-59.403306,29.300,0.926176
80,20.000,-59.456627,0.060557,-59.396070,39.041,0.751542
90,22.500,-59.461666,0.065353,-59.396313,42.133,0.708988
100,25.000,-59.438053,0.059612,-59.378441,38.432,1.470740
110,27.500,-59.448112,0.071251,-59.376861,45.935,0.612477
120,30.000,-59.424023,0.066597,-59.357425,42.935,0.975061
130,32.500,-59.446114,0.109085,-59.337029,70.327,0.669078
140,35.000,-59.427074,0.114739,-59.312335,73.972,1.296361
150,37.500,-59.395054,0.091893,-59.303161,59.243,1.250579
