step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-140.318695,0.000000,-140.318695,0.000,0.268925
100,25.000,-140.034134,0.591044,-139.443089,142.891,0.878127
200,50.000,-139.573563,0.841351,-138.732212,203.406,1.173848
300,75.000,-139.414474,1.092547,-138.321927,264.135,1.188417
400,100.000,-139.387314,1.135790,-138.251523,274.590,1.523932
500,125.000,-139.369217,1.152879,-138.216337,278.721,1.295301
600,150.000,-139.363235,1.096814,-138.266421,265.167,1.911526
700,175.000,-139.004990,1.083318,-137.921672,261.904,2.475501
800,200.000,-139.508591,1.652589,-137.856002,399.531,2.215363
900,225.000,-138.962540,0.989544,-137.972995,239.233,1.937357
1000,250.000,-139.285492,1.216553,-138.068938,294.115,0.902581
1100,275.000,-138.841293,1.004640,-137.836653,242.883,1.883444
1200,300.000,-139.327393,1.457068,-137.870325,352.262,1.161947
1300,325.000,-139.215393,1.379674,-137.835719,333.551,1.412565
1400,350.000,-139.025055,1.320179,-137.704876,319.168,1.730449
1500,375.000,-139.275436,1.367271,-137.908166,330.553,1.845583
1600,400.000,-139.023361,1.197642,-137.825720,289.543,1.648338
1700,425.000,-139.251785,1.235236,-138.016549,298.632,1.550274
1800,450.000,-139.185608,1.086624,-138.098984,262.703,2.597091
1900,475.000,-139.275894,1.340306,-137.935589,324.033,1.361277
2000,500.000,-139.212250,1.307699,-137.904551,316.150,1.122019
