step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-53.363415,0.635031,-52.728384,377.909,0.011570
50,12.500,-53.182079,0.379091,-52.802988,225.599,1.439921
100,25.000,-53.113197,0.289981,-52.823216,172.569,1.032302
150,37.500,-53.191925,0.431705,-52.760220,256.909,0.706038
200,50.000,-53.036423,0.492701,-52.543722,293.208,1.728605
250,62.500,-53.275909,1.048255,-52.227654,623.820,1.206917
300,75.000,-53.517048,0.810791,-52.706257,482.505,1.175590
350,87.500,-53.411900,0.513732,-52.898167,305.724,1.798191
400,100.000,-53.311245,0.497075,-52.814170,295.811,1.362545
450,112.500,-53.476276,0.787782,-52.688494,468.812,1.051199
500,125.000,-53.341930,0.742765,-52.599165,442.022,1.576820
550,137.500,-53.357800,0.653439,-52.704360,388.864,1.593910
600,150.000,-53.646809,0.811800,-52.835008,483.105,1.417722
650,162.500,-53.641399,0.742510,-52.898889,441.870,1.582629
700,175.000,-53.600540,0.495103,-53.105437,294.638,0.915750
750,187.500,-53.553837,0.341915,-53.211921,203.475,1.215499
800,200.000,-53.640343,0.413086,-53.227256,245.829,0.984845
850,212.500,-53.754364,0.486605,-53.267759,289.581,1.047696
900,225.000,-53.706142,0.518098,-53.188044,308.322,1.337194
950,237.500,-53.614994,0.614583,-53.000411,365.741,1.950791
1000,250.000,-53.683346,0.551157,-53.132188,327.996,0.905021
