step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-140.318695,0.000000,-140.318695,0.000,0.268926
100,25.000,-140.207092,0.190616,-140.016476,46.083,0.780273
200,50.000,-140.131119,0.249007,-139.882111,60.200,0.738628
300,75.000,-140.025635,0.527043,-139.498591,127.418,0.743020
400,100.000,-139.795502,0.521171,-139.274331,125.999,1.013249
500,125.000,-139.722382,0.589081,-139.133301,142.417,1.297658
600,150.000,-139.704819,0.656393,-139.048426,158.690,1.029548
700,175.000,-139.589523,0.692056,-138.897468,167.312,1.338765
800,200.000,-139.627167,0.970954,-138.656213,234.739,1.793736
900,225.000,-139.516266,1.042332,-138.473934,251.995,1.753967
1000,250.000,-139.547775,1.134085,-138.413690,274.177,2.444193
1100,275.000,-139.479034,1.203032,-138.276002,290.846,1.907825
1200,300.000,-139.360168,1.077940,-138.282229,260.604,1.636077
1300,325.000,-139.134506,1.053167,-138.081339,254.615,1.810261
1400,350.000,-139.135712,1.079436,-138.056276,260.965,1.239387
1500,375.000,-139.151398,1.100192,-138.051206,265.983,1.347216
1600,400.000,-139.265381,1.237210,-138.028171,299.109,2.050213
1700,425.000,-139.003860,1.171493,-137.832368,283.221,2.143995
1800,450.000,-139.365524,1.402626,-137.962899,339.100,1.366583
1900,475.000,-138.953064,1.005804,-137.947260,243.164,1.380518
2000,500.000,-139.014542,1.250393,-137.764148,302.296,1.697323
2100,525.000,-139.237488,1.622181,-137.615307,392.180,1.815449
2200,550.000,-139.175339,1.379298,-137.796041,333.460,1.536803
2300,575.000,-139.193878,1.344343,-137.849535,325.010,1.619999
2400,600.000,-139.109039,1.205203,-137.903836,291.371,1.920900
2500,625.000,-139.037552,1.110704,-137.926848,268.525,1.871818
2600,650.000,-139.155167,1.382613,-137.772554,334.262,2.056395
2700,675.000,-139.274368,1.297830,-137.976539,313.764,1.748484
2800,700.000,-139.288300,1.236428,-138.051871,298.920,2.251210
2900,725.000,-139.298828,1.348090,-137.950738,325.915,1.987401
3000,750.000,-139.200455,1.280610,-137.919845,309.601,1.967946
3100,775.000,-138.928726,0.864541,-138.064185,209.012,2.238355
3200,800.000,-139.443634,1.307007,-138.136627,315.983,1.904570
3300,825.000,-139.265961,1.236195,-138.029766,298.864,2.203189
3400,850.000,-139.191559,1.009121,-138.182437,243.966,2.242170
3500,875.000,-139.498413,1.301088,-138.197325,314.552,2.369062
3600,900.000,-139.092667,0.946032,-138.146635,228.713,2.199505
3700,925.000,-139.286255,1.001208,-138.285047,242.053,2.418246
3800,950.000,-139.487823,1.320091,-138.167732,319.146,2.252455
3900,975.000,-139.256943,0.964914,-138.292029,233.278,1.846502
4000,1000.000,-139.372665,1.345740,-138.026925,325.347,1.436707
4100,1025.000,-139.202820,1.196158,-138.006662,289.184,1.825843
4200,1050.000,-139.241730,1.191030,-138.050699,287.945,1.755988
4300,1075.000,-139.134171,1.160431,-137.973740,280.547,1.945747
4400,1100.000,-139.385757,1.236925,-138.148832,299.040,1.413100
4500,1125.000,-139.329971,1.263129,-138.066842,305.375,1.891550
4600,1150.000,-139.273422,1.040185,-138.233237,251.476,1.524706
4700,1175.000,-139.363571,0.951026,-138.412545,229.921,1.261176
4800,1200.000,-139.539215,1.209091,-138.330124,292.311,1.241704
4900,1225.000,-139.339264,1.129550,-138.209714,273.081,1.854007
5000,1250.000,-139.249451,1.082762,-138.166689,261.770,1.496984
5100,1275.000,-139.367111,1.282917,-138.084194,310.159,1.517529
5200,1300.000,-139.422821,1.169452,-138.253369,282.728,1.727964
5300,1325.000,-139.326355,1.000683,-138.325672,241.926,1.872333
5400,1350.000,-139.678772,1.366822,-138.311950,330.444,2.774310
5500,1375.000,-139.386841,1.136671,-138.250170,274.803,2.225585
5600,1400.000,-139.235519,1.031745,-138.203775,249.435,1.992165
5700,1425.000,-139.155960,1.112830,-138.043130,269.039,2.186342
5800,1450.000,-139.271103,1.312526,-137.958577,317.317,2.012465
5900,1475.000,-138.958282,0.915569,-138.042713,221.349,1.461877
6000,1500.000,-139.312988,1.367288,-137.945700,330.557,2.497993
6100,1525.000,-139.379807,1.229903,-138.149903,297.342,2.071666
6200,1550.000,-139.365723,1.455428,-137.910295,351.866,1.984630
6300,1575.000,-139.274811,1.335067,-137.939744,322.767,1.648500
6400,1600.000,-139.345718,1.200241,-138.145477,290.171,1.913622
6500,1625.000,-139.095764,1.010656,-138.085108,244.337,2.327839
6600,1650.000,-139.429871,1.327509,-138.102361,320.940,1.784544
6700,1675.000,-139.131073,0.939549,-138.191524,227.146,1.919674
6800,1700.000,-139.212601,1.298506,-137.914095,313.928,1.541605
